,store,address,phone,store_open
334,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
335,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
336,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
337,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
338,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
339,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
340,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
341,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
342,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
343,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
344,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
345,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
346,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
347,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
348,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
349,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
350,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
351,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
352,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
353,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
354,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
355,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
356,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
357,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
358,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
359,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
360,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
361,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
362,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
363,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
364,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
365,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
366,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
367,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
368,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
369,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
370,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
371,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
